title,id,type,speakers,abstract,start,end,location
[REPEAT] Choose the Right Amazon EC2 Instance for General-Purpose Workloads,CMP356-R,Chalk Talk,"['Alex Bestavros', 'Meena Gowdar']","Customers often wonder which Amazon EC2 instance is right for their general-purpose workloads. In this session, we review the key differences between the two Amazon EC2 instances, M and T instances, as well as considerations to help you better decide which is the right instance for your needs.",2018-11-27 15:15:00,2018-11-27 16:15:00,"Mirage, Martinique A, T2"
"Alexa, Where's my Car? A Test Drive of the AWS Connected Vehicle Solution",AMT301,Session,"['Dean Phillips', 'John Dixon']","The transformation of the auto industry from manufacturers to mobility providers is centered on seamlessly and safely connecting vehicles to the outside world. In this session, we discuss how customers are using AWS for a variety of connected vehicle use cases. Leave this session with source code, architecture diagrams, and an understanding of how to use the AWS connected vehicle reference architecture to build your own prototypes. Also learn how companies leverage Amazon services such as Alexa, AWS IoT, AWS Greengrass, AWS Lambda, and Amazon Kinesis Data Analytics to rapidly develop and deploy innovative mobility services. Learn how to use new enhancements in your architectures, including the IoT Device Simulator, a scalable, simulated vehicle, load generation tool, as well as the AWS IoT Framework for Automotive Grade Linux (AGL), an integrated build tool for AGL that includes the AWS IoT Device SDK and AWS Greengrass.",2018-11-28 11:30:00,2018-11-28 00:30:00,"Aria East, Level 1, Joshua 6, T1"
[REPEAT] Amazon EC2 Foundations,CMP208-R,Session,['Raj Pai'],"Amazon EC2 provides resizable compute capacity in the cloud and makes web-scale computing easier for customers. It offers a wide variety of compute instances well suited to every imaginable use case, from static websites to high-performance supercomputing on-demand, all available through highly flexible pricing options. This session covers the latest Amazon EC2 features and capabilities, including new instance families available in Amazon EC2, the differences among their hardware types and capabilities, and their optimal use cases. We also cover some best practices on how you can optimize your expenditure on Amazon EC2 to make the most of your EC2 instances, saving time and money.",2018-11-26 12:15:00,2018-11-26 13:15:00,"Venetian, Level 2, Venetian Theatre, T2"
Mastering Kubernetes on AWS,CON301,Session,"['Yaniv Donenfeld', 'Alex Strand']","Kubernetes offers a powerful abstraction layer for managing containerized infrastructure. Amazon Elastic Container Service for Kubernetes (Amazon EKS) makes it easy to run Kubernetes on AWS without having to manage master nodes or the etcd operator. In this session, we cover what you need to know to get your application up and running with Kubernetes on AWS. We show how Amazon EKS makes deploying Kubernetes on AWS simple and scalable, including networking, security, monitoring, and logging.",2018-11-27 13:45:00,2018-11-27 14:45:00,"Aria East, Plaza Level, Orovada 2, T2"
Building Microservices with Containers,CON308,Session,"['Arun Gupta', 'Sarah Wells']","Microservices are minimal function services that are deployed separately, but can interact together to function as a broader application. Microservices can be built, changed, and deployed quickly with a relatively small impact, empowering developers to speed up the rate of innovation. In this session, we show how containers help enable microservices-based application architectures, discuss best practices for building new microservices, and cover the AWS services that allow you to build performant microservices applications.",2018-11-26 16:00:00,2018-11-26 17:00:00,"Mirage, Grand Ballroom F, T1"
Moving Kubernetes Workloads to Amazon EKS,CON313,Session,[],"Amazon Elastic Container Service for Kubernetes (Amazon EKS) is a managed control plane for running Kubernetes on AWS. In this session, we cover what you need to know to move your Kubernetes environment to run on Amazon EKS. We share success stories and discuss cluster creation, instance provisioning, security, networking, architectures, and cost optimization to help you build an actionable migration strategy.",2018-11-28 17:30:00,2018-11-28 18:30:00,"Mirage, Grand Ballroom F, T1"
Amazon Prime Video: Delivering the Amazing Video Experience,CTD203,Session,"['Chaitanya Solapurkar', 'Harrison Clement', 'Nick Benson']","In this session, hear engineers from Amazon Prime Video and Amazon CloudFront discuss how they have architected and optimized their video delivery for scaled global audiences. Topics include optimizing the application and video pipeline for use with content delivery networks (CDN), optimizations in the CDN for efficient and performant video delivery, measuring quality, and effectively managing multi-CDN performance and policy. Learn how CloudFront delivers the performance that Prime Video demands, and hear best practices and lessons learned through scaling this fast-growing service.",2018-11-27 09:15:00,2018-11-27 10:15:00,"MGM, Level 1, Grand Ballroom 122, T2"
"Use Monitoring, Logs, and Analytics Tools to Measure CDN And Site Performance",CTD207,Builders Session,"['Hongmin Liu', 'Karan Desai', 'Karthik Uthaman']","In this session, use metrics and logs from Amazon CloudFront, and tools such as Amazon CloudWatch and third-party performance measurement tools, to measure and improve your web and mobile performance.",2018-11-26 10:00:00,2018-11-26 11:00:00,"Mirage, Grand Ballroom B, Table 4, T1"
The Few Milliseconds in the Life of an HTTP Request,CTD416,Session,"['Jorge Vasquez', 'Hongmin Liu']","In Amazon CloudFront, a lot happens in just a few milliseconds. Come dive deep into the infrastructure and architecture of AWS’ Edge services including CloudFront, Route 53, Shield and WAF. We’ll breakdown the life of an HTTP request (and any request in general) and walk you through how each of AWS’ Edge services work together in just a few milliseconds to consistently deliver your application’s content with high availability, security, and performance. You will earn how Edge services intelligently route requests to the most ideal Edge location, secure your content behind the scenes, and leverage AWS’ private network for improved performance. ",2018-11-28 12:15:00,2018-11-28 13:15:00,"Aria East, Level 1, Joshua 8, T2"
Running Your Oracle Database on Amazon RDS,DAT331,Chalk Talk,['Joyjeet Banerjee'],"In this session, learn how to run your Oracle database on Amazon RDS. We discuss various Oracle database options, as well as high availability, backup, and upgrades. We also cover database migration to Amazon RDS for Oracle.",2018-11-27 15:15:00,2018-11-27 16:15:00,"MGM, Level 1, South Concourse 105, T2"
[REPEAT] Assessing your Application Portfolio,ENT202-R,Chalk Talk,"['Zachary Hansen', 'Ryan Brenon']","Companies are realizing that moving to the cloud is critical to driving digital transformation. However, it can be daunting to break down application portfolios that consist of hundreds or even thousands of applications. Often, a company’s information repository on the infrastructure and applications are out of date or the application dependencies and migration paths are not well understood. In this session, learn the six common application migration strategies to AWS, learn the discovery tools and the types of applications that are suited for lift-and-shift compared with those that are candidates for re-architecture
",2018-11-26 10:45:00,2018-11-26 11:45:00,"Aria West, Level 3, Starvine 2, T2"
[REPEAT] End Extra Spending: Hunting for Increased Value through Cost Optimization,ENT224-R,Workshop,"['Jarred Clore', 'Levon Stepanian']","This is a a workshop that could pay for itself. It is aimed at both IT and finance teams. Increase the value realized with AWS by hunting for ways to cost optimize your environment. In this workshop, you learn core cost optimization functions, such as rightsizing, elasticity, and pricing models, so you can hunt for the greatest savings and reduce your costs by more than 50%.

",2018-11-26 10:00:00,2018-11-26 00:15:00,"Venetian, Level 4, Marcello 4403, T1"
[REPEAT 1] End Extra Spending: Hunting for Increased Value through Cost Optimization,ENT224-R1,Workshop,"['Levon Stepanian', 'Jarred Clore']","This is a a workshop that could pay for itself. It is aimed at both IT and finance teams. Increase the value realized with AWS by hunting for ways to cost optimize your environment. In this workshop, you learn core cost optimization functions, such as rightsizing, elasticity, and pricing models, so you can hunt for the greatest savings and reduce your costs by more than 50%.

",2018-11-26 16:45:00,2018-11-26 19:00:00,"MGM, Level 3, Premier Ballroom 311, T2"
[REPEAT] Managing Application Costs and Performance Using AWS Auto Scaling,ENT323-R,Builders Session,['Farzad Moghimi'],"In this session, learn how AWS Auto Scaling enables you to configure scaling for all your application resources in as few as three steps.",2018-11-26 14:30:00,2018-11-26 15:30:00,"Mirage, Grand Ballroom B, Table 3, T1"
[REPEAT 1] Managing Application Costs and Performance Using AWS Auto Scaling,ENT323-R1,Builders Session,['Farzad Moghimi'],"In this session, learn how AWS Auto Scaling enables you to configure scaling for all your application resources in as few as three steps.",2018-11-27 08:30:00,2018-11-27 09:30:00,"Mirage, Grand Ballroom B, Table 1, T1"
[REPEAT 2] Managing Application Costs and Performance Using AWS Auto Scaling,ENT323-R2,Builders Session,['Farzad Moghimi'],"In this session, learn how AWS Auto Scaling enables you to configure scaling for all your application resources in as few as three steps.
<![CDATA[/* */]]>",2018-11-27 13:00:00,2018-11-27 14:00:00,"Aria West, Level 3, Starvine 10, Table 4, T1"
[REPEAT 3] Managing Application Costs and Performance Using AWS Auto Scaling,ENT323-R3,Builders Session,['Farzad Moghimi'],"In this session, learn how AWS Auto Scaling enables you to configure scaling for all your application resources in as few as three steps.
<![CDATA[/* */]]>",2018-11-27 17:30:00,2018-11-27 18:30:00,"Aria West, Level 3, Starvine 10, Table 4, T1"
[REPEAT 5] Managing Application Costs and Performance Using AWS Auto Scaling,ENT323-R5,Builders Session,['Farzad Moghimi'],"In this session, learn how AWS Auto Scaling enables you to configure scaling for all your application resources in as few as three steps.
<![CDATA[/* */]]>",2018-11-29 16:00:00,2018-11-29 17:00:00,"Aria West, Level 3, Starvine 10, Table 7, T1"
Container Security and Avoiding the 2 A.M. Call,CON303,Session,[],"Containers are becoming one of the new normal infrastructures for deploying applications. One of the challenges that customers face is how to secure their applications. Traditional security practices and tools are designed for applications running directly on the hosts, whereas containers are virtualized and multi-tenant. In this session, learn about techniques that can be used to secure hosts, containers themselves, and the applications hosted in individual containers. We look at using Amazon ECS with Amazon EC2, AWS Fargate, and Amazon EKS, and we discuss what techniques and best practices to employ as part of CI/CD processes and for running applications.",2018-11-27 11:30:00,2018-11-27 00:30:00,"Venetian, Level 2, Venetian E, T1"
